,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
111340,1099000.0,3.0,4.0,0.08,Waltham,2451.0,3000.0,1989-07-31
111406,899900.0,2.0,3.0,0.55,Sharon,2067.0,1987.0,2005-10-18
111625,1100000.0,6.0,4.0,0.49,Randolph,2368.0,4038.0,2003-09-19
111671,1575000.0,5.0,4.0,1.44,Sharon,2067.0,4448.0,2005-08-18
111744,739900.0,2.0,1.0,0.19,Milton,2186.0,1110.0,1983-08-25
111779,549900.0,3.0,2.0,0.23,Stoughton,2072.0,1527.0,2003-08-19
111868,869000.0,3.0,3.0,3.29,Foxboro,2035.0,2920.0,2014-12-05
111871,860000.0,4.0,4.0,0.57,Foxboro,2035.0,3119.0,2001-06-28
111951,600000.0,4.0,1.0,0.44,Stoughton,2072.0,1900.0,2003-06-27
112075,1150000.0,4.0,3.0,0.92,Sharon,2067.0,3325.0,1991-05-10
112131,1099000.0,2.0,1.0,0.03,Boston,2116.0,1207.0,2014-03-26
112136,2300000.0,5.0,4.0,3.26,Milton,2186.0,5003.0,2004-12-17
112162,869000.0,4.0,3.0,0.11,Milton,2186.0,2438.0,1995-01-17
112214,599900.0,4.0,2.0,0.26,Walpole,2032.0,1734.0,1993-12-28
112231,625000.0,3.0,2.0,0.26,Norwood,2062.0,2110.0,2003-03-21
112349,699900.0,4.0,2.0,0.25,Milton,2186.0,1691.0,1991-04-02
